Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,SPY,TSLA,AAPL,SPY,TSLA,AAPL,SPY,TSLA,AAPL,SPY,TSLA,AAPL,SPY,TSLA
Date,,,,,,,,,,,,,,,
2024-01-02,183.56219482421875,459.9911804199219,248.4199981689453,186.33085840634024,460.9838811377681,251.25,181.83178197139316,457.8890273530107,244.41000366210938,185.05528848269014,459.51431341639926,250.0800018310547,82488700,123623700,104654200
2024-01-03,182.18777465820312,456.23455810546875,238.4499969482422,183.7995356475199,458.5702737454352,245.67999267578125,181.37694529807916,455.631168116003,236.32000732421875,182.15811164141854,457.83061907435547,244.97999572753906,58414500,103585900,121082600
2024-01-04,179.87393188476562,454.7650146484375,237.92999267578125,181.04071720671112,458.34644746704663,242.6999969482422,178.85546161628733,454.54116395968543,237.72999572753906,180.11123597031312,455.75768568069975,239.25,71983600,84232200,102629300
2024-01-05,179.15213012695312,455.387939453125,237.49000549316406,180.7144477397177,457.8404368275673,240.1199951171875,178.15344001418788,453.9378252017517,234.89999389648438,179.953076851374,454.9694333616534,236.86000061035156,62379700,86118900,92488900
2024-01-08,183.4830780029297,461.8890380859375,240.4499969482422,183.52263874374273,462.0350147729897,241.25,179.46852282651062,455.75774992757283,235.3000030517578,180.0519155054874,455.8842729564319,236.13999938964844,59144500,74879100,85166600
2024-01-09,183.0677947998047,461.1882629394531,234.9600067138672,183.07767744176536,462.21012932199153,238.9600067138672,180.68476543102267,458.72602412321226,232.0399932861328,181.8614486084712,459.2320864754785,238.11000061035156,42841800,65931400,96705700
2024-01-10,184.1060333251953,463.79644775390625,233.94000244140625,184.31367440860302,464.66262543249644,235.5,181.8614365329183,461.1784907638839,231.2899932861328,182.2866315170422,461.46073210525145,235.10000610351562,46792900,67310600,91628500
2024-01-11,183.5127410888672,463.59210205078125,227.22000122070312,184.9564063690912,465.3146861106975,230.92999267578125,181.5647895230864,459.6116465550996,225.3699951171875,184.4521049955326,464.7988820904805,230.57000732421875,49128400,77940700,105873600
2024-01-12,183.8390655517578,463.91326904296875,218.88999938964844,184.64989484239166,465.7818595429952,225.33999633789062,183.11724039185432,462.502121615046,217.14999389648438,183.97749798089004,465.04220480544996,220.0800018310547,40477800,58026400,123043800
2024-01-16,181.57469177246094,462.2101135253906,219.91000366210938,182.1976301200088,463.84511156166917,223.49000549316406,178.90489995610474,460.3902018147457,212.17999267578125,180.12114381484557,462.531291886232,215.10000610351562,65603000,85014900,115355000
2024-01-17,180.63531494140625,459.6408386230469,215.5500030517578,180.8825167727283,460.1274473065962,215.6699981689453,178.281963767062,457.28563952656407,212.00999450683594,179.24110807963172,459.1834252725011,214.86000061035156,47317400,68843900,103164400
2024-01-18,186.51873779296875,463.7283630371094,211.8800048828125,187.0230241166397,464.28310409945385,217.4499969482422,183.7500741577492,459.7673906749951,208.74000549316406,184.00715864056133,461.314802822399,216.8800048828125,78005800,91856200,108595400
2024-01-19,189.4159393310547,469.50927734375,212.19000244140625,189.80157360580037,469.79151871434675,213.19000244140625,186.70661676571424,463.7770421286305,207.55999755859375,187.21090309791916,464.8572992191645,209.99000549316406,68903000,110834500,102260300
2024-01-22,191.71986389160156,470.5019226074219,208.8000030517578,193.143748944668,472.2245065621204,217.8000030517578,190.1081030206995,469.8498539385585,206.27000427246094,190.14766376550878,471.04692192756045,212.25999450683594,60133900,75844900,117952500
2024-01-23,192.99539184570312,471.87420654296875,209.13999938964844,193.55901922053994,472.1175109095896,215.64999389648438,191.660511110776,469.9569966462272,207.75,192.83719415255706,471.04699545665005,211.3000030517578,42355600,49945300,106605900
2024-01-24,192.32301330566406,472.3900146484375,207.8300018310547,194.18197579456825,475.6794645582401,212.72999572753906,192.16480052192722,471.8936642634199,206.77000427246094,193.23271418014866,474.745184157241,211.8800048828125,53631300,81765000,123369900
2024-01-25,191.99671936035156,474.9593200683594,182.6300048828125,194.07322080915367,475.23181977158964,193.0,190.94858599423335,472.39004139507995,180.05999755859375,193.03497008475262,474.52136032734217,189.6999969482422,54822100,72525000,198076800
2024-01-26,190.26632690429688,474.35589599609375,183.25,192.58013270627515,476.02008943226616,186.77999877929688,189.79170355496896,473.5092016110277,182.10000610351562,192.0956267141711,474.53106799985125,185.5,44594000,76641600,107343200
2024-01-29,189.58404541015625,478.1125183105469,190.92999267578125,190.04878611194624,478.2585246858996,191.47999572753906,187.45811545873704,474.12235058965683,183.6699981689453,189.86091028509443,474.66734997690736,185.6300048828125,47145600,61322800,125013100
2024-01-30,185.93531799316406,477.7427062988281,191.58999633789062,189.65324309628332,478.4531359964777,196.36000061035156,185.37170567810733,476.983568210537,190.61000061035156,188.80286821503816,477.421527922976,195.3300018310547,55859400,58618400,109982300
2024-01-31,182.3360595703125,469.94720458984375,187.2899932861328,185.00585134318092,475.98113441506774,193.97000122070312,182.28663127585358,469.92772123444905,185.85000610351562,184.94651023142666,475.5334627445424,187.0,55467800,126011100,103221400
2024-02-01,184.76853942871094,476.09796142578125,188.86000061035156,184.85752846784007,476.1271567596163,189.8800048828125,181.76257176566293,470.8425637335658,184.27999877929688,181.93066720224104,471.65035080339914,188.5,64885400,91891600,91843300
2024-02-02,183.7698516845703,481.1100769042969,187.91000366210938,185.23328233515724,482.76452883359946,188.69000244140625,177.2437171517322,476.1953107107944,182.0,177.84689023760967,476.5359427757288,185.0399932861328,102551700,99228200,110612700
2024-02-05,185.57937622070312,479.3582458496094,181.05999755859375,187.13181116987633,481.1392504253947,184.67999267578125,183.75997412159924,477.1004039249224,175.00999450683594,186.04411693236617,480.4774696836803,184.25999450683594,69668800,75757100,134294400
2024-02-06,187.18121337890625,480.74993896484375,185.10000610351562,187.19109601961685,481.0808293147646,186.49000549316406,184.67953227102765,478.871606822303,177.11000061035156,184.76852130142626,480.3022375794468,177.2100067138672,43490800,55918600,122676000
2024-02-07,187.2899932861328,484.7596130371094,187.5800018310547,188.91163664571195,485.17808940845316,189.7899932861328,186.49894443287428,482.0929770540646,182.67999267578125,188.50622203381667,482.9980918458816,188.17999267578125,53439000,70556500,111535200
2024-02-08,186.2122039794922,484.97369384765625,189.55999755859375,187.418535043408,485.3532331832338,191.6199951171875,185.2530596605407,483.94208579679537,185.5800018310547,187.27021997882892,484.7595848352,189.0,40962000,52343600,83034000
2024-02-09,186.9745635986328,487.7765808105469,193.57000732421875,188.10324181676,488.2145108276318,194.1199951171875,186.1329987846296,485.13914022884614,189.47999572753906,186.77653768433356,485.47977226451565,190.17999267578125,45155200,63979400,84476300
2024-02-12,185.29141235351562,487.56243896484375,188.1300048828125,186.796321504533,490.0149359961155,194.72999572753906,184.9349868995182,486.84223792928447,187.27999877929688,186.54880424779185,487.747352637465,192.11000061035156,41781900,56502300,95498600
2024-02-13,183.20237731933594,480.84722900390625,184.02000427246094,184.36077144619387,483.7766228154562,187.25999450683594,181.68757282391297,477.57723287028176,182.11000061035156,183.92513863049606,481.2851887040555,183.99000549316406,56529500,113099200,86759500
2024-02-14,182.3212127685547,485.21697998046875,188.7100067138672,183.6875129162611,485.7035886541278,188.88999938964844,180.62820312290157,481.158650574048,183.35000610351562,183.4796068721132,483.48465429025185,185.3000030517578,54630500,68387800,81203000
2024-02-15,182.0341033935547,488.5648498535156,200.4499969482422,182.65785175424014,488.74976352545775,200.8800048828125,179.54903541760635,485.4408007855907,188.86000061035156,181.727184392981,485.91769748176387,189.16000366210938,65434500,61683000,120831800
2024-02-16,180.49949645996094,486.1318054199219,199.9499969482422,183.0142804515248,489.40180144243595,203.1699981689453,179.86585283584154,485.39215073377574,197.39999389648438,181.5984737728991,488.26315378111764,202.05999755859375,49752500,75532900,111346700
2024-02-20,179.75692749023438,483.4555358886719,193.75999450683594,180.61828269677792,485.06133882722617,198.60000610351562,178.21242224791314,481.20740583464766,189.1300048828125,179.98463913307552,484.3898163747004,196.1300048828125,53665600,71736700,104545800
2024-02-21,180.50941467285156,483.8934326171875,194.77000427246094,181.07374623255754,484.0491509708409,199.44000244140625,178.8658962581704,480.3411949189208,191.9499969482422,180.13318356154335,482.15139479243277,193.36000061035156,41371400,59293400,103500300
2024-02-22,182.53903198242188,493.9078063964844,197.41000366210938,183.1231842228548,494.871282071389,198.32000732421875,180.64801151557128,489.54778196517503,191.36000061035156,181.65787110291916,490.51128734031624,194.0,52292200,76402500,92739500
2024-02-23,180.7073974609375,494.24847412109375,191.97000122070312,183.20236045475278,496.4674086571224,197.57000732421875,180.4202689919066,493.51856105397593,191.5,183.1726595934398,495.6304262293698,195.30999755859375,45119700,61321800,78841900
2024-02-26,179.36090087890625,492.4382629394531,199.39999389648438,180.94500218994074,495.12435246871587,201.77999877929688,178.8559560281093,492.3117399253592,192.0,180.43017719516277,494.6863927584272,192.2899932861328,40867400,50386700,111747100
2024-02-27,180.8162841796875,493.3530578613281,199.72999572753906,182.09346638622006,493.5769085410792,205.60000610351562,177.7767654701203,491.2314511932456,198.25999450683594,179.30148000361888,493.1292368818132,204.0399932861328,54318900,48854500,108645400
2024-02-28,179.6183319091797,492.7010498046875,202.0399932861328,181.30144633523983,493.28495648375826,205.3000030517578,178.34114943443706,491.4358493661455,198.44000244140625,180.69750358801915,491.7959350516518,200.4199981689453,48953900,56506600,99806200
2024-02-29,178.9550018310547,494.4722900390625,201.8800048828125,180.75693496542868,496.0878345083775,205.27999877929688,177.74711623943745,491.815425510208,198.4499969482422,179.46984202762675,494.46257806109645,204.17999267578125,136682600,83924800,85907000
